code,default,en,ru
supporting.sme.engagement.in.e.commerce,Supporting SME engagement in e-commerce,Supporting SME engagement in e-commerce,Поддержка участия МСП в электронной коммерции
ready4trade.central.asia,Ready4Trade Central Asia,Ready4Trade Central Asia,Ready4Trade Центральная Азия
supporting.inclusive.development.through.trade.and.digitalization,Supporting inclusive development through trade and digitalization.,Supporting inclusive development through trade and digitalization.,Поддержка инклюзивного развития посредством торговли и цифровизации.
aims.to.support.the.development.of.intra.regional.and.international.trade.in.five.central.asian.countries.by.enhancing.the.transparency.of.cross.border.requirements.removing.regulatory.and.procedural.barriers.strengthening.business.capability.to.comp...,"aims to support the development of intra-regional and international trade in five Central Asian countries by enhancing the transparency of cross-border requirements, removing regulatory and procedural barriers, strengthening business capability to comply with trade formalities and standards, as well as by improving cross-border e-commerce.","aims to support the development of intra-regional and international trade in five Central Asian countries by enhancing the transparency of cross-border requirements, removing regulatory and procedural barriers, strengthening business capability to comply with trade formalities and standards, as well as by improving cross-border e-commerce.","Направлен на поддержку развития внутрирегиональной и международной торговли в пяти странах Центральной Азии путем повышения прозрачности трансграничных требований, устранения нормативных и процедурных барьеров, укрепления потенциала бизнеса для соблюдения торговых формальностей и стандартов, а также путем улучшения трансграничной электронной коммерции."
kazakhstan,Kazakhstan,Kazakhstan,Казахстан
kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Киргизстан
tajikistan,Tajikistan,Tajikistan,Таджикистан
turkmenistan,Turkmenistan,Turkmenistan,Туркменистан
uzbekistan,Uzbekistan,Uzbekistan,Узбекистан
main.areas.of.work,Main Areas of Work,Main Areas of Work,Основные направления работы
latest.news,Latest News,Latest News,Последние новости
the.ready4trade.central.asia.project.contributes.to.the.overall.sustainable.and.inclusive.economic.development.of.five.central.asian.countries.including.uzbekistan.by.boosting.intra.regional.and.international.trade.in.the.region,"The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Uzbekistan, by boosting intra-regional and international trade in the region.","The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Uzbekistan, by boosting intra-regional and international trade in the region.","Проект Ready4Trade Central Asia вносит вклад в общее устойчивое и инклюзивное экономическое развитие пяти стран Центральной Азии, включая Узбекистан, путем стимулирования внутрирегиональной и международной торговли в регионе."
in.uzbekistan.the.project.is.comprised.of.the.following.components,"In Uzbekistan, the project is comprised of the following components:","In Uzbekistan, the project is comprised of the following components:",В Узбекистане проект реализует следующие компоненты:
developing.national.e.commerce.strategy,Developing national E-commerce Strategy,Developing national E-commerce Strategy,Разработка национальной стратегии электронной коммерции 
address,Address,Address,Адрес
phone,Phone,Phone,Телефон
email,Email,Email,
the.ready4trade.central.asia.project.contributes.to.the.overall.sustainable.and.inclusive.economic.development.of.five.central.asian.countries.including.turkmenistan.by.boosting.intra.regional.and.international.trade.in.the.region,"The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Turkmenistan, by boosting intra-regional and international trade in the region.","The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Turkmenistan, by boosting intra-regional and international trade in the region.","Проект Ready4Trade Central Asia вносит вклад в общее устойчивое и инклюзивное экономическое развитие пяти стран Центральной Азии, включая Туркменистан, путем стимулирования внутрирегиональной и международной торговли в регионе."
in.turkmenistan.the.project.is.comprised.of.the.following.components,"In Turkmenistan, the project is comprised of the following components:","In Turkmenistan, the project is comprised of the following components:",В Туркменистане проект реализует следующие компоненты:
providing.technical.assistance.on.wto.accession.related.issues,Providing technical assistance on WTO accession related issues,Providing technical assistance on WTO accession related issues,"Предоставление технической помощи по вопросам, связанным со вступлением в ВТО "
ready4trade.central.asia.is.guided.by.the.following.principles,Ready4Trade Central Asia is guided by the following principles:,Ready4Trade Central Asia is guided by the following principles:,В своей деятельности Ready4Trade Central Asia руководствуется следующим:
customized.activities.tailored.to.each.beneficiary.countryspan.classapossspans.specific.needs,"Customized activities tailored to each beneficiary country<span class=""aposs"">`</span>s specific needs.","Customized activities tailored to each beneficiary country<span class=""aposs"">`</span>s specific needs.",Адаптация подхода к конкретным потребностям каждой страны-бенефициара.
an.inclusive.approach.to.its.work.focusing.on.womenspan.classapossspans.economic.empowerment,"An inclusive approach to its work focusing on women<span class=""aposs"">`</span>s economic empowerment.","An inclusive approach to its work focusing on women<span class=""aposs"">`</span>s economic empowerment.","Работа на основе инклюзивного подхода: в частности, путем поддержки расширения экономических прав и возможностей женщин."
sustainable.long.term.results.produced.through.capacity.building.activities.with.multiplying.effects,Sustainable long-term results produced through capacity-building activities with multiplying effects.,Sustainable long-term results produced through capacity-building activities with multiplying effects.,Обеспечение устойчивости результатов проекта за пределами его временных рамок путем обеспечения эффекта домино от его мероприятий по наращиванию потенциала.
synergies.fostered.among.all.relevant.stakeholders.including.beneficiaries.from.the.private.and.public.sector.as.well.as.other.developments.agencies,"Synergies fostered among all relevant stakeholders, including beneficiaries from the private and public sector, as well as other developments agencies.","Synergies fostered among all relevant stakeholders, including beneficiaries from the private and public sector, as well as other developments agencies.","Содействие синергии между всеми соответствующими заинтересованными сторонами, включая бенефициаров из частного и государственного сектора, а также другие агентства по развитию."
in.order.to.ensure.the.beneficiary.countriesrsquo.compliance.with.the.wto.trade.facilitation.agreement.enhance.the.transparency.and.predictability.of.cross.border.trade.formalities.and.identify.potential.areas.for.the.simplification.of.procedures.rea...,"In order to ensure the beneficiary countries&rsquo; compliance with the WTO Trade Facilitation Agreement, enhance the transparency and predictability of cross-border trade formalities and identify potential areas for the simplification of procedures, Ready4Trade Central Asia will:","In order to ensure the beneficiary countries&rsquo; compliance with the WTO Trade Facilitation Agreement, enhance the transparency and predictability of cross-border trade formalities and identify potential areas for the simplification of procedures, Ready4Trade Central Asia will:","В целях обеспечения соблюдения странами-бенефициарами Соглашения ВТО об упрощении процедур торговли, повышения прозрачности и предсказуемости формальностей трансграничной торговли и определения потенциальных областей для упрощения процедур, Ready4Trade Central Asia будет:"
create.launch.and.promote.national.trade.facilitation.portals.in.four.central.asian.countries.ndash.kazakhstan.kyrgyzstan.turkmenistan.and.uzbekistan.in.tajikistan.the.ldquoa.hrefhttpstajtrade.tjtajikistan.trade.portalardquo.was.developed.as.part.of....,"Create, launch and promote National Trade Facilitation Portals in four Central Asian countries &ndash; Kazakhstan, Kyrgyzstan, Turkmenistan and Uzbekistan. In Tajikistan, the &ldquo;<a href=""https://tajtrade.tj/"">Tajikistan Trade Portal</a>&rdquo; was developed as part of the Global Textiles and Clothing Programme (GTEX) implemented by ITC and funded by the State Secretariat for Economic Affairs SECO. Now, Ready4Trade is expanding and updating the &ldquo;Tajikistan Trade Portal&rdquo;.","Create, launch and promote National Trade Facilitation Portals in four Central Asian countries &ndash; Kazakhstan, Kyrgyzstan, Turkmenistan and Uzbekistan. In Tajikistan, the &ldquo;<a href=""https://tajtrade.tj/"">Tajikistan Trade Portal</a>&rdquo; was developed as part of the Global Textiles and Clothing Programme (GTEX) implemented by ITC and funded by the State Secretariat for Economic Affairs SECO. Now, Ready4Trade is expanding and updating the &ldquo;Tajikistan Trade Portal&rdquo;.","Создание, запуск и продвижение национальных порталов содействия торговле в четырех странах Центральной Азии - Казахстане, Кыргызстане, Туркменистане и Узбекистане. Торговый портал Таджикистана"" был разработан в рамках Глобальной программы по текстилю и одежде (GTEX), реализуемой ITC и финансируемой Государственным секретариатом по экономическим вопросам SECO. Ready4Trade расширяет и обновляет ""Торговый портал Таджикистана""."
train.local.stakeholders.to.run.the.portal.in.a.sustainable.manner,Train local stakeholders to run the portal in a sustainable manner.,Train local stakeholders to run the portal in a sustainable manner.,Обучение местных заинтересованных сторон устойчивому управлению порталом.
map.formalities.for.a.minimum.of.20.import.amp.export.flows,Map formalities for a minimum of 20 import &amp; export flows.,Map formalities for a minimum of 20 import &amp; export flows.,Составление карты формальностей для минимум 20 потоков импорта и экспорта.
to.remove.obstacles.on.both.sides.of.the.borders.for.an.increased.intra.regional.and.extra.regional.trade.ready4trade.central.asia.will,"To remove obstacles on both sides of the borders for an increased intra-regional and extra-regional trade, Ready4Trade Central Asia will:","To remove obstacles on both sides of the borders for an increased intra-regional and extra-regional trade, Ready4Trade Central Asia will:","Чтобы устранить препятствия по обе стороны границ для увеличения внутрирегиональной и внерегиональной торговли, Ready4Trade Central Asia будет:"
identify.the.most.stringent.barriers.to.trade.and.pinpoint.their.root.causes,Identify the most stringent barriers to trade and pinpoint their root causes.,Identify the most stringent barriers to trade and pinpoint their root causes.,Определить наиболее жесткие барьеры для торговли и выявить их коренные причины.
draft.relevant.reforms.to.address.these.barriers.with.the.support.of.both.the.public.and.private.sectors,Draft relevant reforms to address these barriers with the support of both the public and private sectors.,Draft relevant reforms to address these barriers with the support of both the public and private sectors.,Разработать соответствующие реформы для устранения этих барьеров при поддержке государственного и частного секторов.
support.the.implementation.of.reforms.in.compliance.with.existing.regional.and.international.agreements,Support the implementation of reforms in compliance with existing regional and international agreements.,Support the implementation of reforms in compliance with existing regional and international agreements.,Поддерживать проведение реформ в соответствии с существующими региональными и международными соглашениями.
in.turkmenistan.the.project.does.not.work.on.addressing.obstacles.to.trade.instead.it.is.providing.initial.technical.assistance.on.wto.accession.related.issues,"In Turkmenistan, the project does not work on addressing obstacles to trade. Instead, it is providing initial technical assistance on WTO accession-related issues.","In Turkmenistan, the project does not work on addressing obstacles to trade. Instead, it is providing initial technical assistance on WTO accession-related issues.","В Туркменистане проект не работает над устранением препятствий для торговли. Вместо этого он предоставляет начальную техническую помощь по вопросам, связанным со вступлением в ВТО."
to.enable.more.smes.to.participate.in.regional.and.international.value.chains.and.generate.new.export.flows.ready4trade.central.asia.will,"To enable more SMEs to participate in regional and international value chains and generate new export flows, Ready4Trade Central Asia will:","To enable more SMEs to participate in regional and international value chains and generate new export flows, Ready4Trade Central Asia will:","Чтобы дать возможность большему количеству МСП участвовать в региональных и международных цепочках создания стоимости и генерировать новые экспортные потоки, Ready4Trade Central Asia будет:"
develop.a.cross.border.management.curriculum.tailored.to.central.asian.business.needs.comprising.of.20.modules,Develop a cross-border management curriculum tailored to Central Asian business needs comprising of 20 modules.,Develop a cross-border management curriculum tailored to Central Asian business needs comprising of 20 modules.,"Разработать учебную программу по трансграничному менеджменту, адаптированную к потребностям бизнеса в Центральной Азии, состоящую из 20 модулей."
support.local.institutions.in.delivering.this.curriculum.through.e.learning.platforms.and.instructor.led.workshops,Support local institutions in delivering this curriculum through e-learning platforms and instructor-led workshops.,Support local institutions in delivering this curriculum through e-learning platforms and instructor-led workshops.,Оказывать поддержку местным учебным заведениям в реализации учебной программы посредством электронного обучения и семинаров под руководством инструкторов.
provide.on.the.job.coaching.at.the.premises.of.selected.smes.in.partnership.with.local.institutions.in.each.beneficiary.country.as.part.of.an.ldquoexport.management.coaching.initiativerdquo,Provide on-the-job coaching at the premises of selected SMEs in partnership with local institutions in each beneficiary country as part of an &ldquo;Export Management Coaching Initiative&rdquo;.,Provide on-the-job coaching at the premises of selected SMEs in partnership with local institutions in each beneficiary country as part of an &ldquo;Export Management Coaching Initiative&rdquo;.,Проведение инструктажа на рабочем месте в помещениях отобранных МСП в партнерстве с местными учреждениями в каждой стране-бенефициаре (Инициатива по обучению управлению экспортом).
to.raise.awareness.of.border.officials.on.gender.specific.challenges.and.boost.women.entrepreneursspan.classapossspan.confidence.and.their.capacity.to.engage.in.international.trade.ready4trade.central.asia.will,"To raise awareness of border officials on gender-specific challenges and boost women entrepreneurs<span class=""aposs"">`</span> confidence and their capacity to engage in international trade, Ready4Trade Central Asia will:","To raise awareness of border officials on gender-specific challenges and boost women entrepreneurs<span class=""aposs"">`</span> confidence and their capacity to engage in international trade, Ready4Trade Central Asia will:","Чтобы повысить осведомленность сотрудников пограничных служб о гендерных проблемах и повысить уверенность женщин-предпринимателей и их способность участвовать в международной торговле, Ready4Trade Central Asia будет:"
conduct.research.and.develop.technical.reports.on.the.specific.challenges.that.women.entrepreneurs.face.and.gather.data.on.gender.issues.including.on.border.officialsrsquo.gender.perception,"Conduct research and develop technical reports on the specific challenges that women entrepreneurs face and gather data on gender issues, including on border officials&rsquo; gender perception.","Conduct research and develop technical reports on the specific challenges that women entrepreneurs face and gather data on gender issues, including on border officials&rsquo; gender perception.","Проведение исследований и разработка технических отчетов по конкретным проблемам, с которыми сталкиваются женщины-предприниматели, и сбор данных по гендерным вопросам, в том числе по гендерному восприятию сотрудников пограничных служб."
develop.and.deliver.training.addressing.gender.and.trade.issues.for.border.officials.statistics.agencies.and.women.entrepreneurs,"Develop and deliver training addressing gender and trade issues for border officials, statistics agencies and women entrepreneurs.","Develop and deliver training addressing gender and trade issues for border officials, statistics agencies and women entrepreneurs.","Разработка и проведение тренингов по гендерным вопросам и вопросам торговли для сотрудников пограничных служб, статистических агентств и женщин-предпринимателей."
supporting.smes.engagement.in.e.commerce,Supporting SMEs’ engagement in e-commerce,Supporting SMEs’ engagement in e-commerce,Поддержка участия МСП в электронной коммерции
to.raise.smesspan.classapossspan.capacity.to.trade.digitally.both.intra.regionally.and.internationally.ready4trade.central.asia.will,"To raise SMEs<span class=""aposs"">`</span> capacity to trade digitally, both intra-regionally and internationally, Ready4Trade Central Asia will:","To raise SMEs<span class=""aposs"">`</span> capacity to trade digitally, both intra-regionally and internationally, Ready4Trade Central Asia will:","Для повышения потенциала МСП в области цифровой торговли, как внутри региона, так и на международном уровне, Ready4Trade Central Asia будет:"
assist.200.central.asian.businesses.in.online.by.providing.individual.coaching.conducting.customized.research.for.smes.and.working.with.private.sector.partners.to.offer.technical.help,"Assist 200+ Central Asian businesses in online by providing individual coaching, conducting customized research for SMEs and working with private sector partners to offer technical help.","Assist 200+ Central Asian businesses in online by providing individual coaching, conducting customized research for SMEs and working with private sector partners to offer technical help.","Оказание помощи 200+ предприятиям Центральной Азии в продажах через онлайн-каналы путем предоставления индивидуальных консультаций, проведения специализированных исследований для МСП и работы с партнерами из частного сектора для предоставления технической помощи."
help.national.business.support.organizations.better.understand.the.needs.of.smes.on.their.e.commerce.journey,Help national Business Support Organizations better understand the needs of SMEs on their e-commerce journey.,Help national Business Support Organizations better understand the needs of SMEs on their e-commerce journey.,Улучшить понимание национальными организациями поддержки бизнеса потребностей МСП на их пути к электронной коммерции.
developing.e.commerce.strategies.and.e.commerce.legislation,Developing E-commerce Strategies and e-commerce legislation,Developing E-commerce Strategies and e-commerce legislation,Разработка стратегий электронной коммерции и законодательства в области электронной коммерции
to.enable.beneficiary.countries.to.develop.a.strategic.vision.and.strengthen.the.e.commerce.competitiveness.of.smes.ready4trade.central.asia.will,"To enable beneficiary countries to develop a strategic vision and strengthen the e-commerce competitiveness of SMEs, Ready4Trade Central Asia will:","To enable beneficiary countries to develop a strategic vision and strengthen the e-commerce competitiveness of SMEs, Ready4Trade Central Asia will:","Чтобы дать возможность странам-бенефициарам разработать стратегическое видение и укрепить конкурентоспособность МСП в сфере электронной коммерции, Ready4Trade Central Asia будет:"
support.governments.in.kyrgyzstan.tajikistan.and.uzbekistan.in.developing.national.e.commerce.strategies,"Support governments in Kyrgyzstan, Tajikistan and Uzbekistan in developing national e-commerce strategies.","Support governments in Kyrgyzstan, Tajikistan and Uzbekistan in developing national e-commerce strategies.","Оказание помощи правительствам Кыргызстана, Таджикистана и Узбекистана в разработке национальных стратегий электронной коммерции."
assist.in.the.development.of.an.e.commerce.regulatory.framework.in.kazakhstan.in.cooperation.with.unctad,Assist in the development of an e-commerce regulatory framework in Kazakhstan (in cooperation with UNCTAD).,Assist in the development of an e-commerce regulatory framework in Kazakhstan (in cooperation with UNCTAD).,Содействие в разработке нормативно-правовой базы электронной коммерции в Казахстане (в сотрудничестве с ЮНКТАД).
international.partners,International Partners,International Partners,Зарубежные партнеры
ready4trade.success.stories,Ready4Trade Success Stories,Ready4Trade Success Stories,Истории успеха Ready4Trade
the.ready4trade.central.asia.project.contributes.to.the.overall.sustainable.and.inclusive.economic.development.of.five.central.asian.countries.including.tajikistan.by.boosting.intra.regional.and.international.trade.in.the.region,"The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Tajikistan, by boosting intra-regional and international trade in the region.","The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Tajikistan, by boosting intra-regional and international trade in the region.","Проект Ready4Trade Central Asia вносит вклад в общее устойчивое и инклюзивное экономическое развитие пяти стран Центральной Азии, включая Таджикистан, путем стимулирования внутрирегиональной и международной торговли в регионе."
in.tajikistan.the.project.is.comprised.of.the.following.components,"In Tajikistan, the project is comprised of the following components:","In Tajikistan, the project is comprised of the following components:",В Таджикистане проект реализует следующие компоненты:
establishing.a.trade.facilitation.portal.expanding.and.updating.the.ldquoa.hrefhttpstajtrade.tjtajikistan.trade.portalardquo.that.was.developed.by.itc.as.part.of.the.global.textiles.and.clothing.programme.gtex.funded.by.the.state.secretariat.for.econ...,"Establishing a Trade Facilitation Portal (expanding and updating the &ldquo;<a href=""https://tajtrade.tj/"">Tajikistan Trade Portal</a>&rdquo; that was developed by ITC as part of the Global Textiles and Clothing Programme (GTEX) funded by the State Secretariat for Economic Affairs SECO)","Establishing a Trade Facilitation Portal (expanding and updating the &ldquo;<a href=""https://tajtrade.tj/"">Tajikistan Trade Portal</a>&rdquo; that was developed by ITC as part of the Global Textiles and Clothing Programme (GTEX) funded by the State Secretariat for Economic Affairs SECO)",Создание порталов по упрощению процедур торговли
ready4trade.newsletters,Ready4Trade Newsletters,Ready4Trade Newsletters,Информационная рассылка Ready4Trade
the.ready4trade.central.asia.project.contributes.to.the.overall.sustainable.and.inclusive.economic.development.of.five.central.asian.countries.including.kyrgyzstan.by.boosting.intra.regional.and.international.trade.in.the.region,"The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Kyrgyzstan, by boosting intra-regional and international trade in the region.","The Ready4Trade Central Asia project contributes to the overall sustainable and inclusive economic development of five Central Asian countries, including Kyrgyzstan, by boosting intra-regional and international trade in the region.","Проект Ready4Trade Central Asia вносит вклад в общее устойчивое и инклюзивное экономическое развитие пяти стран Центральной Азии, включая Кыргызстан, путем стимулирования внутрирегиональной и международной торговли в регионе."
in.kyrgyzstan.the.project.is.comprised.of.the.following.components,"In Kyrgyzstan, the project is comprised of the following components:","In Kyrgyzstan, the project is comprised of the following components:",В Кыргызстане проект реализует следующие компоненты:
published,Published,Published,Опубликовано
home,Home,Home,Главная
about,About,About,О нас
how.we.work,How we work,How we work,Как мы работаем
сountries,Сountries,Сountries,Страны
media,Media,Media,Медиа
contact,Contact,Contact,Контакты
spanpartnersspan,<span>Partnerss</span>,<span>Partnerss</span>,<span>Партнеры</span>
english,English,English,Английский
russian,Russian,Russian,Русский
back.to.top,Back to top,Back to top,Вверх
website,Website,Website,Сайт
newsletter.mailing.list,Newsletter mailing list,Newsletter mailing list,Подписаться на рассылку
subscribe,Subscribe ,Subscribe ,Подписаться
itc.headquarters,ITC Headquarters,ITC Headquarters,Штаб-квартира ИТЦ
social.media,Social media,Social media,Социальные сети
postal.address,Postal address,Postal address,Почтовый адрес
palais.des.nations.br1211.geneva.10.switzerland,"Palais des Nations <br>1211 Geneva 10, Switzerland","Palais des Nations <br>1211 Geneva 10, Switzerland","Швейцария, Женева, Дворец Наций 10"
street.address,Street address,Street address,Адрес
itc.54.56.rue.de.montbrillant.br1202.geneva.switzerland,"ITC, 54-56, Rue de Montbrillant <br>1202 Geneva, Switzerland","ITC, 54-56, Rue de Montbrillant <br>1202 Geneva, Switzerland","Швейцария, Женева, Руи Монтбрилиант 54-56, МТЦ"
eu.regional.office,EU REGIONAL OFFICE,EU REGIONAL OFFICE,РЕГИОНАЛЬНОЕ ОТДЕЛЕНИЕ ЕС
62.kosmonavtov.street.brfloor.7.dist.chubary.brz05e9e1.nur.sultan.brrepublic.of.kazakhstan,62 Kosmonavtov Street <br>Floor 7 Dist. Chubary <br>Z05E9E1 Nur-Sultan <br>Republic of Kazakhstan,62 Kosmonavtov Street <br>Floor 7 Dist. Chubary <br>Z05E9E1 Nur-Sultan <br>Republic of Kazakhstan,"РК, Нур-Султан,  мкр. Чубары, ​Космонавтов, 62"
developed.by,Developed by,Developed by,Разработано
website.development.in.nur.sultan,website development in Nur Sultan,website development in Nur Sultan,разработка сайтов в Нур-Султане
terms.and.conditions,Terms and Conditions,Terms and Conditions,Условия и положения
copyright.notice,Copyright Notice,Copyright Notice,Автромские права
32.kerey.zhanibek.khandar.street.yesil.district.business.center.grey.plaza.4th.floor.room.411.z05k4f9.nur.sultan.republic.of.kazakhstan,"32 Kerey Zhanibek Khandar street, Yesil district, Business Center “Grey Plaza”, 4th floor, room 411, Z05K4F9 Nur-Sultan, Republic of Kazakhstan","32 Kerey Zhanibek Khandar street, Yesil district, Business Center “Grey Plaza”, 4th floor, room 411, Z05K4F9 Nur-Sultan, Republic of Kazakhstan","Улица Керей Жанибек Хандар, 32, район Есиль, Бизнес-центр ""Грей Плаза"", 4 этаж, комната 411, Z05K4F9 Нур-Султан, Республика Казахстан"
143.4.moskovskaya.street.720017.bishkek.kyrgyz.republic,"143-4 Moskovskaya street, 720017 Bishkek, Kyrgyz Republic","143-4 Moskovskaya street, 720017 Bishkek, Kyrgyz Republic","143-4 Московская улица, 720017 Бишкек, Кыргызская Республика"
151.rudaki.avenue.apt.4.734012.dushanbe.republic.of.tajikistan,"15/1 Rudaki avenue, apt. 4, 734012 Dushanbe, Republic of Tajikistan","15/1 Rudaki avenue, apt. 4, 734012 Dushanbe, Republic of Tajikistan","Проспект Рудаки 15/1, апп. 4, 734012 Душанбе, Республика Таджикистан"
82.1972.ataturk.street.business.center.berkarar.5th.floor.office.e5b.744000.ashgabat.turkmenistan,"82, 1972 (Ataturk) street, Business Center “Berkarar”, 5th floor, office E5b, 744000 Ashgabat, Turkmenistan","82, 1972 (Ataturk) street, Business Center “Berkarar”, 5th floor, office E5b, 744000 Ashgabat, Turkmenistan","Улица Ататюрка, 82, 1972, Бизнес-центр ""Беркарар"", 5th этаж, офис E5b, 744000 Ашхабад, Туркменистан"
